Model,Total Parameters,Validation Accuracy (%),Macro F1 Score,Weighted F1 Score,Training Time (est. for full epochs),Architecture,Image Size,Number of Classes
SimpleCNN,620810,56.0,0.5324,0.5324,~5 min,Simple 3-layer CNN,32x32,10
ResNetSmall,2777674,60.0,0.5755,0.5755,~15 min,Residual Network,32x32,10
